0,0,0,0,0,0,0,20
1,0.000,0.009,0.000,0.009,0.00,0.00,20
2,0.000,0.014,0.001,0.021,0.01,0.01,20
3,0.001,0.031,0.001,0.047,0.04,0.04,20
4,0.002,0.052,0.003,0.078,0.09,0.09,20
5,0.004,0.073,0.005,0.109,0.15,0.15,20
6,0.005,0.095,0.008,0.139,0.23,0.23,20
7,0.008,0.116,0.011,0.170,0.33,0.33,20
8,0.010,0.137,0.015,0.201,0.44,0.44,20
9,0.014,0.158,0.020,0.232,0.58,0.58,20
10,0.017,0.179,0.025,0.263,0.72,0.72,20
11,0.021,0.201,0.031,0.293,0.89,0.89,20
12,0.026,0.222,0.038,0.324,1.07,1.07,20
13,0.031,0.244,0.045,0.354,1.27,1.27,20
14,0.036,0.266,0.052,0.384,1.48,1.48,20
15,0.042,0.288,0.061,0.414,1.70,1.70,20
16,0.048,0.310,0.070,0.444,1.94,1.94,20
17,0.054,0.333,0.079,0.473,2.19,2.19,20
18,0.062,0.355,0.089,0.503,2.46,2.46,20
19,0.069,0.378,0.100,0.532,2.73,2.73,20
20,0.077,0.401,0.111,0.561,3.02,3.02,20
21,0.086,0.424,0.123,0.590,3.32,3.32,20
22,0.095,0.448,0.135,0.618,3.62,3.62,20
23,0.104,0.472,0.148,0.646,3.93,3.93,20
24,0.114,0.496,0.161,0.674,4.25,4.25,20
25,0.124,0.520,0.175,0.702,4.58,4.58,20
26,0.135,0.545,0.190,0.729,4.91,4.91,20
27,0.147,0.570,0.205,0.756,5.24,5.24,20
28,0.159,0.595,0.221,0.783,5.58,5.58,20
29,0.171,0.621,0.237,0.809,5.92,5.92,20
30,0.184,0.647,0.254,0.835,6.25,6.25,20
31,0.197,0.673,0.271,0.861,6.59,6.59,20
32,0.211,0.700,0.289,0.886,6.93,6.93,20
33,0.226,0.727,0.307,0.911,7.26,7.26,20
34,0.241,0.754,0.326,0.936,7.58,7.58,20
35,0.257,0.782,0.345,0.960,7.90,7.90,20
36,0.273,0.810,0.365,0.984,8.21,8.21,20
37,0.290,0.839,0.385,1.007,8.51,8.51,20
